timestamp,maquina,turno,piezas_ok,piezas_def,tiempo_paro_min,causa
2026-07-01 06:00,M1,A,145,3,12,Cambio de molde
2026-07-01 06:00,M2,A,200,0,0,
2026-07-01 06:00,M3,A,98,12,35,Falla mecánica
2026-07-01 14:00,M1,B,130,8,45,Falla mecánica
2026-07-01 14:00,M2,B,195,2,5,Ajuste
2026-07-01 14:00,M3,B,160,1,0,
2026-07-01 22:00,M1,C,110,15,60,Falla eléctrica
2026-07-01 22:00,M2,C,180,0,10,Cambio de molde
2026-07-01 22:00,M3,C,140,4,0,
2026-07-02 06:00,M1,A,155,2,0,
2026-07-02 06:00,M2,A,205,1,0,
2026-07-02 06:00,M3,A,120,6,20,Ajuste
2026-07-02 14:00,M1,B,148,4,8,Ajuste
2026-07-02 14:00,M2,B,198,0,0,
2026-07-02 14:00,M3,B,135,9,30,Falla mecánica
2026-07-02 22:00,M1,C,100,20,90,Falla mecánica
2026-07-02 22:00,M2,C,175,3,15,Cambio de molde
2026-07-02 22:00,M3,C,145,2,0,
2026-07-03 06:00,M1,A,160,1,0,
2026-07-03 06:00,M2,A,210,0,0,
2026-07-03 06:00,M3,A,115,8,25,Falla mecánica
2026-07-03 14:00,M1,B,140,5,15,Ajuste
2026-07-03 14:00,M2,B,200,1,0,
2026-07-03 14:00,M3,B,150,3,0,
2026-07-03 22:00,M1,C,105,18,75,Falla eléctrica
2026-07-03 22:00,M2,C,185,0,5,Ajuste
2026-07-03 22:00,M3,C,138,6,10,Cambio de molde
2026-07-04 06:00,M1,A,152,3,0,
2026-07-04 06:00,M2,A,208,0,0,
2026-07-04 06:00,M3,A,110,10,40,Falla mecánica
2026-07-04 14:00,M1,B,135,7,20,Falla mecánica
2026-07-04 14:00,M2,B,195,2,0,
2026-07-04 14:00,M3,B,155,2,0,
2026-07-04 22:00,M1,C,108,16,55,Falla eléctrica
2026-07-04 22:00,M2,C,178,1,8,Ajuste
2026-07-04 22:00,M3,C,142,4,5,Ajuste
2026-07-05 06:00,M1,A,158,2,0,
2026-07-05 06:00,M2,A,212,0,0,
2026-07-05 06:00,M3,A,125,5,15,Ajuste
2026-07-05 14:00,M1,B,143,4,10,Cambio de molde
2026-07-05 14:00,M2,B,202,0,0,
2026-07-05 14:00,M3,B,158,1,0,
2026-07-05 22:00,M1,C,112,14,50,Falla eléctrica
2026-07-05 22:00,M2,C,182,2,12,Cambio de molde
2026-07-05 22:00,M3,C,148,3,0,
2026-07-06 06:00,M1,A,150,4,5,Ajuste
2026-07-06 06:00,M2,A,207,0,0,
2026-07-06 06:00,M3,A,118,7,22,Falla mecánica
2026-07-06 14:00,M1,B,138,6,18,Falla mecánica
2026-07-06 14:00,M2,B,196,1,0,
2026-07-06 14:00,M3,B,152,2,0,
2026-07-06 22:00,M1,C,106,17,65,Falla eléctrica
2026-07-06 22:00,M2,C,176,2,10,Ajuste
2026-07-06 22:00,M3,C,140,5,8,Cambio de molde
2026-07-07 06:00,M1,A,162,1,0,
2026-07-07 06:00,M2,A,215,0,0,
2026-07-07 06:00,M3,A,122,6,18,Ajuste
2026-07-07 14:00,M1,B,145,3,8,Ajuste
2026-07-07 14:00,M2,B,203,0,0,
2026-07-07 14:00,M3,B,157,1,0,
2026-07-07 22:00,M1,C,109,13,48,Falla eléctrica
2026-07-07 22:00,M2,C,183,1,7,Ajuste
2026-07-07 22:00,M3,C,146,3,0,
